,0,1,2,3,4,5,6,7
87,52.0,,1.0,,,,0.0,1.0
88,54.0,,,,1.0,0.0,0.0,1.0
89,57.0,,,,1.0,,0.0,1.0
90,60.0,,,,1.0,,0.0,1.0
91,70.0,0.0,,,1.0,0.0,0.0,1.0
92,71.0,0.0,,,1.0,,0.0,1.0
93,76.0,0.0,,,1.0,0.0,0.0,1.0
94,83.0,,,,1.0,0.0,0.0,1.0
95,86.0,0.0,,,1.0,0.0,0.0,1.0
96,96.0,,0.0,0.0,1.0,,0.0,1.0
97,99.0,0.0,,,1.0,0.0,0.0,1.0
98,106.0,0.0,,,1.0,,0.0,1.0
99,108.0,,,,1.0,0.0,0.0,1.0
100,111.0,0.0,0.0,0.0,1.0,,0.0,1.0
101,112.0,,,,1.0,,0.0,1.0
102,119.0,0.0,,,1.0,,0.0,1.0
103,135.0,,0.0,0.0,1.0,0.0,0.0,1.0
104,136.0,,,,1.0,0.0,0.0,1.0
105,138.0,,,,1.0,0.0,0.0,1.0
106,145.0,,0.0,,1.0,0.0,0.0,1.0
107,176.0,0.0,,,1.0,,0.0,1.0
108,186.0,0.0,0.0,0.0,1.0,,0.0,1.0
109,190.0,,,,1.0,,0.0,1.0
110,195.0,,0.0,0.0,1.0,0.0,0.0,1.0
111,45.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
112,6.0,,,,0.0,,0.0,0.0
113,7.0,,,,0.0,,0.0,0.0
114,8.0,0.0,,,0.0,0.0,0.0,0.0
115,10.0,,,,0.0,0.0,0.0,0.0
116,13.0,,0.0,,,,0.0,0.0
117,16.0,,0.0,0.0,,0.0,0.0,0.0
118,20.0,,0.0,0.0,0.0,,0.0,0.0
119,24.0,,,,,,0.0,0.0
120,27.0,,,,,,0.0,0.0
121,28.0,,0.0,0.0,,,0.0,0.0
122,31.0,,,,,0.0,0.0,0.0
123,36.0,,,,,,0.0,0.0
124,38.0,,,0.0,1.0,-1.0,0.0,0.0
